Question,Option A,Option B,Option C,Option D
6.63 10 34 Js e =,,,,
1.6 10 19 C 0 = 4 10 7 T m A 1 0 =,,,,
8.854 10 12 C2 N 1 m 2 0 4 1 = 9 109 N m2 C 2 Mass of electron (me) =,,,,
9.1 10 31 kg Mass of neutron =,,,,
1.675 10 27 kg Mass of proton =,,,,
1.673 10 27 kg,,,,
6.023 1023 per gram mole Boltzmann constant =,,,,
1.38 10 23 JK 1 11-55/1/2 5 P.T.O. SECTION A,,,,
1. A thin plastic rod is bent into a circular ring of radius R. It is uniformly charged with charge density . The magnitude of the electric field at its centre is :,(A) R 2 0,(B) Zero,(C) 0R,(D) R 4 0
"2. A charged sphere of radius r has surface charge density . The electric field on its surface is E. If the radius of the sphere is doubled, keeping charge density the same, the ratio of the electric field on the old sphere to that on the new sphere will be :",(A) 1,(B) 1 2,(C) 1 4,(D) 4
"3. A student is asked to connect four cells, each of emf E and internal resistance r, in series. But she/he connects one cell wrongly in series with the other cells. The equivalent emf and the equivalent internal resistance of the combination will be :",(A) 4E and 2r,(B) 4E and 3r,(C) 3E and 4r,(D) 2E and 4r
4. A piece of wire bent in the form of a circular loop A carries a current I. The wire is then bent into a circular loop B of two turns and carries the same current. The ratio of magnetic fields at the centre of loop A to that of loop B will be :,(A) 16 1,(B) 16,(C) 4,(D) 4 1
5. A 10 cm long wire lies along y-axis. It carries a current of,,,,
1.0 A in positive y-direction. A magnetic field B = (5 mT)^j (8 mT) ^k exists in the region. The force on the wire is :,(A) (08 mN)^i,(B) (08 mN)^i,(C) (80 mN)^i,(D) (80 mN)^i 4 11-55/1/2 7 P.T.O.
6. A galvanometer of resistance G is converted into an ammeter of range 0 to I A. If the current through the galvanometer is,,,,
"0.1% of I A, the resistance of the ammeter is :",(A) G 999,(B) G 1000,(C) G 1001,(D) G 1001
7. A conducting circular loop is placed in a uniform magnetic field B = 50 mT with its plane perpendicular to the magnetic field. The radius of the loop is made to shrink at a constant rate of 1 mm s,,,,
"1. At the instant the radius of the loop is 4 cm, the induced emf in the loop is :",(A) V,(B) 2 V,(C) 4 V,(D) 8 V
